T-icTFiv3btAlPY9RMwT8cGWzDNWM=,A solar generator that generates electricity.,一台太阳能发电机，可以产生电力。
T-IddgMl0k5lAjHxwdFyo6xjHiUyM=,Air conditioning (heating),空调（制热）
T-iiL1YCcRone77uugxX0SoYxp2HE=,Weak chrysanthemum effect,弱菊花效果
T-IJRTsSA/UJ6MWOt+OUf5dNFTYSA=,Air conditioner (no electricity),空调（没电）
T-ImIdEeQ8ZQeV/hMfCCPlxwebbgQ=,Research table,研究台
T-IsLa4bBnucDzwNWQ6l+3EVVwIAs=,Ginger tea,姜茶
T-iTKq+Tmg4kHLaUgtmgMt/yC+tVE=,Kiwi generator,猕猴发电机
T-iUWU3PTcrGbQ/Kl2e/zsiW6TlZk=,Practice gardening,练习园艺
T-IVpf33C0bckDgFn3j6HvMl89boo=,Orchids,兰花
T-j/vxkpNKtwz80Ov8WJdYBEzut0s=,Water,水
T-j6UOXVrcbbUWJ2Sf6SjV/RiVOs8=,Seabird guano volume,海鸟粪量
T-jBK7vYUxJ8VI2SyXYF+jyrluWSE=,Air conditioning (cooling),空调（制冷）
T-jd/enBArRFYmR0FAT51sF+GjdSY=,Wooden house first floor,木屋一楼
T-jemr/G485Zl8xt8XBHC/rIbZGT4=,Recast,重铸
T-JErlGAslHWq1tlwdhhhwx3wcIig=,Back to the first floor,回一楼
T-jHrcDw68HcrGs4ImQQ/qNV5etMs=,Handing over the leaves as fodder to the farmer,将叶子当做饲料交于农夫
T-jhT0svIIwG+6lLSY2VvFtfZyswM=,"You studied the technology blueprint, but you are not working on the project, so you wasted your time and this blueprint.",你研读了科技蓝图，但你没有在研究的项目，所以你浪费了你的时间和这张蓝图。
T-JlPYVVVvyMdYzTcEMQLLTAH179Q=,Slaughter table,屠宰台
T-JMwYPm5EfSJBQ9y5cXsJiDU4+qg=,An air conditioner that regulates the temperature of the room and is now blowing cold air.,一个空调，可以调节房间的温度，现在在吹冷风。
T-JPFuzRwUunUczkFktHDC5BOUxp0=,A mango squeezed into a juice that you can drink.,芒果榨成的果汁，可以喝。
T-jrL81pfrqBfQmpwcQ2zJMnU4L0Y=,Running,跑步
T-jvzUzfCwfTLsVSQ3BPBl1kip4VQ=,Not enough materials,材料不足
T-JW3SXK0Bd/IrBGkodJWM8PCkDIU=,Kiwi generator-not powered up,猕猴发电机-未通电
T-k+sufNauJ++ganyvE0I4PbCfk9k=,Blowing hot air,吹热风
T-K5ByOFCdwNCYHxLBiqudx9lsiyI=,What a nice view here!,这里的风景真好看！
T-K7GgvaH1xMYzndlLMq+HJ8jboEY=,"A large mud brick, I should have used something to scatter it.",一大块泥砖，我应该用东西把它打撒。
T-k826B+WsxWNPme918Ga3zALm00k=,Need more advanced stonework skills,需要更高级的石工技能
T-kCeUr8vbKCGx6ruZJCu5oJ0W830=,"Snake weed preparation, not to be drunk, but can be applied as a potion to repel insects.",蛇草制剂，不可以喝，但可以当做药水涂抹以驱虫。
T-kEbptQb+XyrRZBzpYMdyYSDP+sY=,Moved to the Valley of Nar ......,移动到纳尔之谷……
T-KRhjOsgRtvfjRiwhnw2VhbEq6+M=,Explore,探索
T-l0CmlR1b27Vl0R0Gt+fsNeg07/U=,I can handle fruit & juice here.,我可以在这里处理水果与果汁。
T-leJf00Q21UhQ3V2Ch2UT7c3sb5U=,Technology Blueprint - Success,科技蓝图-成功
T-LgLOOrpII9kQl7A+E8IfSQs/d9k=,"Stone cone is a tool for carving stones, which can be made with flint + large stones (can be dragged directly or made via blueprint).",石锥是雕刻石头的工具，可以使用燧石＋大石块制作（可以直接拖动，也可以通过蓝图制作）。
T-LK2WEPbB5gdhrqBSJ84GildVGjQ=,"Nourishes Yin and moistens the lung, induces diuresis, clears heat and detoxifies",养阴润肺，利水渗湿，清热解毒
T-LKhruOGkI5DaSS2vp6eqybAsBGY=,Filling feces,装填粪便
T-llSbj8HMZVmUmd49Urc+S53SAwc=,"A research table where I can draw blueprints for technology (only available after powering up, please don't build too early)",一个研究台，我可以在这里绘制科技蓝图（通电后才能使用，请不要过早建造）。
T-LmowbWVicADGskn+PXD0DVGPjL8=,A powered up research bench where I can draw tech blueprints,一个通电了的研究台，我可以在这里绘制科技蓝图。
T-LmVc0LYxKVecZSUwAM2XU9+OijE=,Alkiq Island,阿尔基克岛
T-lPeYW9+uFLgPUVLgUbFI9+RPf1A=,A brewing station,酿造台
T-LtOjWDWsVP+COB9L9fwFw+1pkkw=,Coffee preparation,咖啡制剂
T-LvIQ+3qQn8OOFsxno+r2dAMihv0=,Enter the wooden house,进入木屋
T-LZlriixC7EgqO7ka8yW6Mz8daH8=,A strong orchid effect,强兰花效果
T-M1LUhNPIrnezYLg417iHY77w+e4=,An air conditioner that regulates the temperature of the room and is now blowing hot air.,一个空调，可以调节房间的温度，现在在吹热风。
T-m1pYB4R5K9GlExVH9GQYDuwChOk=,"A macaque generator that generates electricity, but I first need to wire it into the grid.",一台猕猴发电机，可以产生电力，不过我首先需要用电线把它接入电网。
T-ma6E4Wo9zKscFhcakUVa7ux5gog=,Chrysanthemum tea,菊花茶
T-McB2BwB5ziSmMnP1jsTj1Tex76M=,Technology Blueprint - Waste,科技蓝图-浪费
T-mEQHG6RERBrLPXRFqK235rW52e4=,Orchid Tea,兰花茶
T-MHF5F293oBik9L1doERgcf4U8x8=,"A magnet, the heart of electricity technology.",一块磁石，是电力技术的核心。
T-MHihLihVdJZYDgHWV0cODE5jTog=,Valley of the Null,纳尔之谷
T-Mm6oa8wzaoejZjIQpKWPZEerQ70=,Nofika Island,诺菲卡岛
T-MoHI67idlhR7PWzpX+e2HOYqOuM=,I can train to run on it.,我可以在上面训练跑步
T-mQQ4X1jN6/vcwTxifOJt1znuSWQ=,"A street lamp, built to be connected to the grid.",一盏路灯，建好后需要接入电网。
T-mvfG0BRpMNsaVTUnzMpAkw1vLmQ=,Produces large clay masses,产出大粘土团
T-n405Tvl+xxVMlUPp4l0DyGB4FaA=,A generator,发电机
T-N69aRHSo5r/3W/hsN7p/nZ47AIw=,"Treated aloe vera juice, ready to drink",处理过的芦荟汁，可以饮用。
T-nFeUQbrgOzCibaYQ7makhPXvY3s=,Drinking water dispenser,饮水机
T-NHRJ4T677ivcL8ylsBUwkCbKxw4=,Needs flint,需要燧石
T-nhrlEURoZJvWSubU6x+l6MFEU7g=,A small wooden boat that I can row to more islands.,一艘小木船，我可以划船去更多岛屿。
T-NJvc7EhW3s1JHw7S2aRgXtJ2t+c=,Need twigs,需要小树枝
T-nnSmPd2xmDdC9p3VvDKoL0E3fiE=,Spider orchid preparation,蜘蛛兰制剂
T-NOSIshqeNKChXIZxhqKqH6SZ7H4=,"A fire generator to generate electricity, though I first need to fill it with fuel.",一台火力发电机，可以产生电力，不过我首先需要填充燃料。
T-NQbthO9B3g/IeGHyhAdcMioRnU4=,Chopped,剁碎
T-nSdmHxTi9hE6Ab+MYSvfqgF0XJk=,Exquisite technology blueprint,精致的科技蓝图
